electionTiming,desk,NonstopWords,NposPorter,NnegPorter
3,Sports Desk,1070,61,23
3,Sports Desk,1130,85,26
3,Sports Desk,798,37,46
3,Foreign Desk,608,24,28
3,National Desk,1950,121,82
3,National Desk,1938,107,79
3,Sports Desk,532,10,7
3,National Desk,856,44,37
3,National Desk,926,59,32
3,National Desk,1064,54,19
3,National Desk,524,24,14
3,National Desk,1042,42,28
3,National Desk,402,19,10
3,National Desk,1440,97,67
3,National Desk,1246,80,42
3,National Desk,1144,71,40
3,National Desk,866,56,32
3,National Desk,842,37,30
3,National Desk,1470,72,30
3,National Desk,1156,63,48
3,National Desk,1260,71,57
3,National Desk,424,23,28
3,National Desk,588,27,22
3,National Desk,1040,61,41
3,National Desk,1266,92,33
3,National Desk,446,25,17
3,National Desk,986,75,33
3,National Desk,1372,97,47
3,National Desk,1132,88,37
3,National Desk,1866,136,60
3,National Desk,1944,123,71
3,Editorial Desk,828,93,53
3,Editorial Desk,528,30,24
3,National Desk,1710,81,64
3,National Desk,1274,78,57
3,National Desk,1590,95,50
3,National Desk,2170,90,119
3,National Desk,462,17,25
3,National Desk,2272,136,77
